frame_idx,time_s,label,path
0,0.0000,0,ch1/00000.png
1,0.0333,0,ch1/00001.png
2,0.0667,0,ch1/00002.png
3,0.1000,0,ch1/00003.png
4,0.1333,0,ch1/00004.png
5,0.1667,0,ch1/00005.png
6,0.2000,0,ch1/00006.png
7,0.2333,0,ch1/00007.png
8,0.2667,0,ch1/00008.png
9,0.3000,0,ch1/00009.png
10,0.3333,0,ch1/00010.png
11,0.3667,0,ch1/00011.png
12,0.4000,0,ch1/00012.png
13,0.4333,0,ch1/00013.png
14,0.4667,0,ch1/00014.png
15,0.5000,0,ch1/00015.png
16,0.5333,0,ch1/00016.png
17,0.5667,0,ch1/00017.png
18,0.6000,0,ch1/00018.png
19,0.6333,0,ch1/00019.png
20,0.6667,0,ch1/00020.png
21,0.7000,0,ch1/00021.png
22,0.7333,0,ch1/00022.png
23,0.7667,0,ch1/00023.png
24,0.8000,0,ch1/00024.png
25,0.8333,0,ch1/00025.png
26,0.8667,0,ch1/00026.png
27,0.9000,0,ch1/00027.png
28,0.9333,0,ch1/00028.png
29,0.9667,0,ch1/00029.png
30,1.0000,0,ch1/00030.png
31,1.0333,0,ch1/00031.png
32,1.0667,0,ch1/00032.png
33,1.1000,0,ch1/00033.png
34,1.1333,0,ch1/00034.png
35,1.1667,0,ch1/00035.png
36,1.2000,0,ch1/00036.png
37,1.2333,0,ch1/00037.png
38,1.2667,0,ch1/00038.png
39,1.3000,0,ch1/00039.png
40,1.3333,0,ch1/00040.png
41,1.3667,0,ch1/00041.png
42,1.4000,0,ch1/00042.png
43,1.4333,0,ch1/00043.png
44,1.4667,0,ch1/00044.png
45,1.5000,0,ch1/00045.png
46,1.5333,0,ch1/00046.png
47,1.5667,0,ch1/00047.png
48,1.6000,0,ch1/00048.png
49,1.6333,0,ch1/00049.png
50,1.6667,0,ch1/00050.png
51,1.7000,0,ch1/00051.png
52,1.7333,0,ch1/00052.png
53,1.7667,0,ch1/00053.png
54,1.8000,0,ch1/00054.png
55,1.8333,0,ch1/00055.png
56,1.8667,0,ch1/00056.png
57,1.9000,0,ch1/00057.png
58,1.9333,0,ch1/00058.png
59,1.9667,0,ch1/00059.png
60,2.0000,0,ch1/00060.png
61,2.0333,0,ch1/00061.png
62,2.0667,0,ch1/00062.png
63,2.1000,0,ch1/00063.png
64,2.1333,0,ch1/00064.png
65,2.1667,0,ch1/00065.png
66,2.2000,0,ch1/00066.png
67,2.2333,0,ch1/00067.png
68,2.2667,0,ch1/00068.png
69,2.3000,0,ch1/00069.png
70,2.3333,0,ch1/00070.png
71,2.3667,0,ch1/00071.png
72,2.4000,0,ch1/00072.png
73,2.4333,0,ch1/00073.png
74,2.4667,0,ch1/00074.png
75,2.5000,0,ch1/00075.png
76,2.5333,0,ch1/00076.png
77,2.5667,0,ch1/00077.png
78,2.6000,0,ch1/00078.png
79,2.6333,0,ch1/00079.png
80,2.6667,0,ch1/00080.png
81,2.7000,0,ch1/00081.png
82,2.7333,0,ch1/00082.png
83,2.7667,0,ch1/00083.png
84,2.8000,0,ch1/00084.png
85,2.8333,0,ch1/00085.png
86,2.8667,0,ch1/00086.png
87,2.9000,0,ch1/00087.png
88,2.9333,0,ch1/00088.png
89,2.9667,0,ch1/00089.png
90,3.0000,0,ch1/00090.png
91,3.0333,0,ch1/00091.png
92,3.0667,0,ch1/00092.png
93,3.1000,0,ch1/00093.png
94,3.1333,0,ch1/00094.png
95,3.1667,0,ch1/00095.png
96,3.2000,0,ch1/00096.png
97,3.2333,0,ch1/00097.png
98,3.2667,0,ch1/00098.png
99,3.3000,0,ch1/00099.png
100,3.3333,0,ch1/00100.png
101,3.3667,0,ch1/00101.png
102,3.4000,0,ch1/00102.png
103,3.4333,0,ch1/00103.png
104,3.4667,0,ch1/00104.png
105,3.5000,0,ch1/00105.png
106,3.5333,0,ch1/00106.png
107,3.5667,0,ch1/00107.png
108,3.6000,0,ch1/00108.png
109,3.6333,0,ch1/00109.png
110,3.6667,0,ch1/00110.png
111,3.7000,0,ch1/00111.png
112,3.7333,0,ch1/00112.png
113,3.7667,0,ch1/00113.png
114,3.8000,0,ch1/00114.png
115,3.8333,0,ch1/00115.png
116,3.8667,0,ch1/00116.png
117,3.9000,0,ch1/00117.png
118,3.9333,0,ch1/00118.png
119,3.9667,0,ch1/00119.png
120,4.0000,0,ch1/00120.png
121,4.0333,0,ch1/00121.png
122,4.0667,0,ch1/00122.png
123,4.1000,0,ch1/00123.png
124,4.1333,0,ch1/00124.png
125,4.1667,0,ch1/00125.png
126,4.2000,0,ch1/00126.png
127,4.2333,0,ch1/00127.png
128,4.2667,0,ch1/00128.png
129,4.3000,0,ch1/00129.png
130,4.3333,0,ch1/00130.png
131,4.3667,0,ch1/00131.png
132,4.4000,0,ch1/00132.png
133,4.4333,0,ch1/00133.png
134,4.4667,0,ch1/00134.png
135,4.5000,0,ch1/00135.png
136,4.5333,0,ch1/00136.png
137,4.5667,0,ch1/00137.png
138,4.6000,0,ch1/00138.png
139,4.6333,0,ch1/00139.png
140,4.6667,0,ch1/00140.png
141,4.7000,0,ch1/00141.png
142,4.7333,0,ch1/00142.png
143,4.7667,0,ch1/00143.png
144,4.8000,0,ch1/00144.png
145,4.8333,0,ch1/00145.png
146,4.8667,0,ch1/00146.png
147,4.9000,0,ch1/00147.png
148,4.9333,0,ch1/00148.png
149,4.9667,0,ch1/00149.png
150,5.0000,0,ch1/00150.png
151,5.0333,0,ch1/00151.png
152,5.0667,0,ch1/00152.png
153,5.1000,0,ch1/00153.png
154,5.1333,0,ch1/00154.png
155,5.1667,0,ch1/00155.png
156,5.2000,0,ch1/00156.png
157,5.2333,0,ch1/00157.png
158,5.2667,0,ch1/00158.png
159,5.3000,0,ch1/00159.png
160,5.3333,0,ch1/00160.png
161,5.3667,0,ch1/00161.png
162,5.4000,0,ch1/00162.png
163,5.4333,0,ch1/00163.png
164,5.4667,0,ch1/00164.png
165,5.5000,0,ch1/00165.png
166,5.5333,0,ch1/00166.png
167,5.5667,0,ch1/00167.png
168,5.6000,0,ch1/00168.png
169,5.6333,0,ch1/00169.png
170,5.6667,0,ch1/00170.png
171,5.7000,0,ch1/00171.png
172,5.7333,0,ch1/00172.png
173,5.7667,0,ch1/00173.png
174,5.8000,0,ch1/00174.png
175,5.8333,0,ch1/00175.png
176,5.8667,0,ch1/00176.png
177,5.9000,0,ch1/00177.png
178,5.9333,0,ch1/00178.png
179,5.9667,0,ch1/00179.png
180,6.0000,0,ch1/00180.png
181,6.0333,0,ch1/00181.png
182,6.0667,0,ch1/00182.png
183,6.1000,0,ch1/00183.png
184,6.1333,0,ch1/00184.png
185,6.1667,0,ch1/00185.png
186,6.2000,0,ch1/00186.png
187,6.2333,0,ch1/00187.png
188,6.2667,0,ch1/00188.png
189,6.3000,0,ch1/00189.png
190,6.3333,0,ch1/00190.png
191,6.3667,0,ch1/00191.png
192,6.4000,0,ch1/00192.png
193,6.4333,0,ch1/00193.png
194,6.4667,0,ch1/00194.png
195,6.5000,0,ch1/00195.png
196,6.5333,0,ch1/00196.png
197,6.5667,0,ch1/00197.png
198,6.6000,0,ch1/00198.png
199,6.6333,0,ch1/00199.png
200,6.6667,0,ch1/00200.png
201,6.7000,0,ch1/00201.png
202,6.7333,0,ch1/00202.png
203,6.7667,0,ch1/00203.png
204,6.8000,0,ch1/00204.png
205,6.8333,0,ch1/00205.png
206,6.8667,0,ch1/00206.png
207,6.9000,0,ch1/00207.png
208,6.9333,0,ch1/00208.png
209,6.9667,0,ch1/00209.png
210,7.0000,0,ch1/00210.png
211,7.0333,0,ch1/00211.png
212,7.0667,0,ch1/00212.png
213,7.1000,0,ch1/00213.png
214,7.1333,0,ch1/00214.png
215,7.1667,0,ch1/00215.png
216,7.2000,0,ch1/00216.png
217,7.2333,0,ch1/00217.png
218,7.2667,0,ch1/00218.png
219,7.3000,0,ch1/00219.png
220,7.3333,0,ch1/00220.png
221,7.3667,0,ch1/00221.png
222,7.4000,0,ch1/00222.png
223,7.4333,0,ch1/00223.png
224,7.4667,0,ch1/00224.png
225,7.5000,0,ch1/00225.png
226,7.5333,0,ch1/00226.png
227,7.5667,0,ch1/00227.png
228,7.6000,0,ch1/00228.png
229,7.6333,0,ch1/00229.png
230,7.6667,0,ch1/00230.png
231,7.7000,0,ch1/00231.png
232,7.7333,0,ch1/00232.png
233,7.7667,0,ch1/00233.png
234,7.8000,0,ch1/00234.png
235,7.8333,0,ch1/00235.png
236,7.8667,0,ch1/00236.png
237,7.9000,0,ch1/00237.png
238,7.9333,0,ch1/00238.png
239,7.9667,0,ch1/00239.png
240,8.0000,0,ch1/00240.png
241,8.0333,0,ch1/00241.png
242,8.0667,0,ch1/00242.png
243,8.1000,0,ch1/00243.png
244,8.1333,0,ch1/00244.png
245,8.1667,0,ch1/00245.png
246,8.2000,0,ch1/00246.png
247,8.2333,0,ch1/00247.png
248,8.2667,0,ch1/00248.png
249,8.3000,0,ch1/00249.png
250,8.3333,0,ch1/00250.png
251,8.3667,0,ch1/00251.png
252,8.4000,0,ch1/00252.png
253,8.4333,0,ch1/00253.png
254,8.4667,0,ch1/00254.png
255,8.5000,0,ch1/00255.png
256,8.5333,0,ch1/00256.png
257,8.5667,0,ch1/00257.png
258,8.6000,0,ch1/00258.png
259,8.6333,0,ch1/00259.png
260,8.6667,0,ch1/00260.png
261,8.7000,0,ch1/00261.png
262,8.7333,0,ch1/00262.png
263,8.7667,0,ch1/00263.png
264,8.8000,0,ch1/00264.png
265,8.8333,0,ch1/00265.png
266,8.8667,0,ch1/00266.png
267,8.9000,0,ch1/00267.png
268,8.9333,0,ch1/00268.png
269,8.9667,0,ch1/00269.png
270,9.0000,-1,ch1/00270.png
271,9.0333,-1,ch1/00271.png
272,9.0667,-1,ch1/00272.png
273,9.1000,-1,ch1/00273.png
274,9.1333,-1,ch1/00274.png
275,9.1667,-1,ch1/00275.png
276,9.2000,-1,ch1/00276.png
277,9.2333,-1,ch1/00277.png
278,9.2667,-1,ch1/00278.png
279,9.3000,-1,ch1/00279.png
280,9.3333,-1,ch1/00280.png
281,9.3667,-1,ch1/00281.png
282,9.4000,-1,ch1/00282.png
283,9.4333,-1,ch1/00283.png
284,9.4667,-1,ch1/00284.png
285,9.5000,-1,ch1/00285.png
286,9.5333,-1,ch1/00286.png
287,9.5667,-1,ch1/00287.png
288,9.6000,-1,ch1/00288.png
289,9.6333,-1,ch1/00289.png
290,9.6667,-1,ch1/00290.png
291,9.7000,-1,ch1/00291.png
292,9.7333,-1,ch1/00292.png
293,9.7667,-1,ch1/00293.png
294,9.8000,-1,ch1/00294.png
295,9.8333,-1,ch1/00295.png
296,9.8667,-1,ch1/00296.png
297,9.9000,-1,ch1/00297.png
298,9.9333,-1,ch1/00298.png
299,9.9667,-1,ch1/00299.png
300,10.0000,-1,ch1/00300.png
301,10.0333,-1,ch1/00301.png
302,10.0667,-1,ch1/00302.png
303,10.1000,-1,ch1/00303.png
304,10.1333,-1,ch1/00304.png
